Seq_ID	Origin	Farming	Condition	Stage	Time	Latitude	Longitude	Variety	Date	Density_must	pH_must	Acetic_acid	Ammonia	Sugars	Glycerol	Lactic_acid	Malic_acid	PAN	Ethanol	Tartaric_acid	Citric_acid	Succinic_acid	pH	CFU	CFU_max	Total_fermentation_days	Weight_loss_max	Weight_loss_average	Time_hours_CFU_max	Region
ITS-167	LM	CONV	NH4	1_middle	96	39.183196	-2.169892	Tempranillo	29/08/2020	1088	3.54	0.05	24	133.2	5.62	0.02	2.39	33	NA	NA	NA	NA	NA	9.02E+07	1.12E+08	22	1.252840258	0.22	96	La Mancha
ITS-185	LM	CONV	SO2	1_middle	144	39.183196	-2.169892	Tempranillo	29/08/2020	1088	3.54	0.08	46	121.24	5.19	0.02	2.68	12	NA	NA	NA	NA	NA	6.48E+07	3.52E+08	29	0.568482823	0.17	72	La Mancha
ITS-131	LM	ECO	Control	1_middle	120	39.0944483	-2.3329039	Tempranillo	29/08/2020	1103	3.8	0.18	25	174.22	6.08	2.29	1.98	23	NA	NA	NA	NA	NA	4.00E+07	1.60E+08	34	0.903728881	0.18	192	La Mancha
ITS-149	LM	ECO	18C	1_middle	216	39.0944483	-2.3329039	Tempranillo	29/08/2020	1103	3.8	0.07	33	170.71	5.27	0.03	2.28	20	NA	NA	NA	NA	NA	4.95E+07	8.00E+07	43	0.67623322	0.13	192	La Mancha
ITS-166	LM	ECO	NH4	1_middle	96	39.0944483	-2.3329039	Tempranillo	29/08/2020	1103	3.8	0.22	213	180.54	5.24	2.9	1.94	48	NA	NA	NA	NA	NA	6.16E+07	4.48E+07	22	1.183219075	0.25	120	La Mancha
ITS-184	LM	ECO	SO2	1_middle	312	39.0944483	-2.3329039	Tempranillo	29/08/2020	1103	3.8	0.1	0	127.85	7.84	0.03	2.18	20	NA	NA	NA	NA	NA	8.40E+07	1.20E+08	27	2.025581969	0.22	264	La Mancha
ITS-130	M	CONV	Control	1_middle	168	40.0997	-3.390333	Tempranillo	02/09/2020	1111	3.74	0.41	53	190.17	4.15	0.04	1.87	37	NA	NA	NA	NA	NA	3.40E+06	4.00E+06	20	0.503947589	0.14	96	Madrid
ITS-148	M	CONV	18C	1_middle	264	40.0997	-3.390333	Tempranillo	02/09/2020	1111	3.74	0.49	75	202.78	4.94	0.05	1.75	36	NA	NA	NA	NA	NA	1.96E+07	4.40E+07	41	0.310613352	0.07	144	Madrid
ITS-165	M	CONV	NH4	1_middle	168	40.0997	-3.390333	Tempranillo	02/09/2020	1111	3.74	0.39	285	193.81	4.23	0.05	1.89	57	NA	NA	NA	NA	NA	5.80E+06	1.20E+08	20	0.53412945	0.15	168	Madrid
ITS-183	M	CONV	SO2	1_middle	384	40.0997	-3.390333	Tempranillo	02/09/2020	1111	3.74	0.47	7	205.73	5.53	0.06	1.51	41	NA	NA	NA	NA	NA	1.68E+07	4.40E+07	32	0.538072372	0.09	144	Madrid
ITS-129	M	ECO	Control	1_middle	360	40.1161246	-3.3723841	Tempranillo	02/09/2020	1107	3.51	0.67	12	175.82	7.56	0.79	0.57	29	NA	NA	NA	NA	NA	3.72E+05	8.00E+07	34	0.498401354	0.11	168	Madrid
ITS-147	M	ECO	18C	1_middle	364	40.1161249	-3.3723844	Tempranillo	02/09/2020	1107	3.51	0.62	42	174.17	8.34	0.71	0.48	19	NA	NA	NA	NA	NA	2.72E+07	5.20E+07	28	0.366144984	0.1	96	Madrid
ITS-164	M	ECO	NH4	1_middle	360	40.1161255	-3.372385	Tempranillo	02/09/2020	1107	3.51	0.68	295	168.79	7.41	1.08	0.32	56	NA	NA	NA	NA	NA	5.98E+05	4.28E+07	35	0.477326969	0.09	48	Madrid
ITS-182	M	ECO	SO2	1_middle	216	40.1161252	-3.3723847	Tempranillo	02/09/2020	1107	3.51	0.56	57	198.47	5.41	0.04	1.04	41	NA	NA	NA	NA	NA	1.26E+07	4.80E+07	34	0.500339737	0.09	96	Madrid
ITS-136	R1	CONV	Control	1_middle	120	42.1405764	-1.8781454	Tempranillo	02/09/2020	1092	3.44	0.27	51	157.59	4.54	0.02	1.14	30	NA	NA	NA	NA	NA	2.14E+07	4.88E+07	31	0.89265888	0.15	48	Rioja
